"consumer","artifact_family","owner_analysis_id","normalized_consume","historical_consume","runtime_helper","normalized_producer_exists","policy"
"analysis/wgcna/summarize_module_complex_architecture.R","module_annotation","annotate_module_microenvironment","results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_module_biological_annotation.csv","results/tables/06_modules_WGCNA/module_annotation/<dataset>/WGCNA_module_biological_annotation.csv","wgcna_annotation_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_interpretation.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_module_supermodule_annotation.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_module_supermodule_annotation.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_interpretation.R","04_wgcna_de_gsea_overlap","compare_module_enrichment_overlap","results/wgcna/compare_module_enrichment_overlap/<dataset>/tables/","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/<dataset>/","wgcna_gsea_overlap_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_interpretation.R","group_effects","test_module_phenotypes","results/wgcna/test_module_phenotypes/<dataset>/tables/module_group_effects.csv","results/tables/06_modules_WGCNA/group_effects/<dataset>/module_group_effects.csv","wgcna_group_effects_artifact; wgcna_group_effects_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_interpretation.R","group_effects","test_module_phenotypes","results/wgcna/test_module_phenotypes/<dataset>/tables/supermodule_group_effects.csv","results/tables/06_modules_WGCNA/group_effects/<dataset>/supermodule_group_effects.csv","wgcna_group_effects_artifact; wgcna_group_effects_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_interpretation.R","group_effects","test_module_phenotypes","results/wgcna/test_module_phenotypes/<dataset>/tables/supermodule_composition.csv","results/tables/06_modules_WGCNA/group_effects/<dataset>/supermodule_composition.csv","wgcna_group_effects_artifact; wgcna_group_effects_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_interpretation.R","module_annotation","annotate_module_microenvironment","results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_module_biological_annotation.csv","results/tables/06_modules_WGCNA/module_annotation/<dataset>/WGCNA_module_biological_annotation.csv","wgcna_annotation_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_interpretation.R","module_annotation","annotate_module_microenvironment","results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_supermodule_biological_annotation.csv","results/tables/06_modules_WGCNA/module_annotation/<dataset>/WGCNA_supermodule_biological_annotation.csv","wgcna_annotation_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_scores.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_final_label_lookup.csv","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_final_label_lookup.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_scores.R","module_score","score_module_activity","results/wgcna/score_module_activity/<dataset>/tables/wgcna/supermodule_directional_effects.csv","results/tables/06_modules_WGCNA/module_score/<dataset>/wgcna/supermodule_directional_effects.csv","wgcna_module_score_artifact; wgcna_module_score_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_scores.R","module_score","score_module_activity","results/wgcna/score_module_activity/<dataset>/tables/wgcna/supermodule_directional_consistency.csv","results/tables/06_modules_WGCNA/module_score/<dataset>/wgcna/supermodule_directional_consistency.csv","wgcna_module_score_artifact; wgcna_module_score_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_scores.R","module_score","score_module_activity","results/wgcna/score_module_activity/<dataset>/tables/wgcna/supermodule_score_correlation_structure.csv","results/tables/06_modules_WGCNA/module_score/<dataset>/wgcna/supermodule_score_correlation_structure.csv","wgcna_module_score_artifact; wgcna_module_score_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/test_microglia_neuropil_independence.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/microglia/tables/modules/","results/tables/06_modules_WGCNA/01_WGCNA/microglia/modules/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/test_microglia_neuropil_independence.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/neuron_neuropil/tables/modules/","results/tables/06_modules_WGCNA/01_WGCNA/neuron_neuropil/modules/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/test_microglia_neuropil_independence.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/microglia/tables/WGCNA_inferential_handoff.csv","results/tables/06_modules_WGCNA/interpretable_summary/microglia/WGCNA_inferential_handoff.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/test_module_phenotypes.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/models/wgcna_final_model_state.rds","data/processed/06_modules_WGCNA/01_WGCNA/<dataset>/wgcna_final_model_state.rds","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/test_module_phenotypes.R","identity_contract","build_module_identity_contract","results/wgcna/build_module_identity_contract/<dataset>/tables/WGCNA_entity_identity_contract.csv","results/tables/06_modules_WGCNA/identity_contract/<dataset>/WGCNA_entity_identity_contract.csv","wgcna_identity_contract_artifact; wgcna_identity_contract_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/test_module_phenotypes.R","identity_contract","build_module_identity_contract","results/wgcna/build_module_identity_contract/<dataset>/tables/WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/<dataset>/WGCNA_module_supermodule_membership_contract.csv","wgcna_identity_contract_artifact; wgcna_identity_contract_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/test_module_phenotypes.R","identity_contract","build_module_identity_contract","results/wgcna/build_module_identity_contract/<dataset>/tables/WGCNA_identity_contract_status.csv","results/tables/06_modules_WGCNA/identity_contract/<dataset>/WGCNA_identity_contract_status.csv","wgcna_identity_contract_artifact; wgcna_identity_contract_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
